English,DetailEnglish,Chinese,DetailChinese,Japanese,DetailJapanese,Vietnamese,DetailVietnamese
apple,Of course - this isn’t the apple that fell on Isaac Newton’s head ^^,苹果,当然 - 这不是砸中牛顿脑袋的那个苹果 ^^,りんご,もちろん - これはアイザック・ニュートンの頭に落ちたリンゴじゃないよ ^^,Quả táo,Tất nhiên đây không phải là quả táo đã rơi trúng đầu Isaac Newton đâu nhé ^^
yellow pepper ,Trust me - this chili is very sweet.,黄辣椒,相信我 - 这个辣椒很甜。,黄ピーマン,信じて - この唐辛子はめっちゃ甘いんだから。,Ớt vàng,Tin tớ đi - quả ớt này rất ngọt.
lemon,A glass of cold lemonade in the summer is wonderful!,柠檬,夏天一杯冰凉的柠檬水 - 太棒了！,レモン,夏に冷たいレモネード一杯 - 最高だよね！,Quả chanh,Một cốc nước chanh mát lạnh vào mùa hè thì tuyệt vời phải không?
wheat,Have you seen a wheat field bathed in golden sunlight and swaying in the breeze?,小麦,你见过沐浴在金色阳光下随风摇曳的麦田吗？,小麦（こむぎ）,黄金の陽光に浴して風に揺れる小麦畑を見たことある？,Lúa mì,Cậu đã thấy cánh đồng lúa mì ngập trong ánh nắng vàng - uốn lượn theo làn gió chưa?
watermelon ,I absolutely love eating watermelon ^^,西瓜,我超爱吃西瓜 ^^,スイカ,スイカを食べるのが大好きなんだ ^^,Dưa hấu,Tớ cực kì thích ăn dưa hấu luôn ^^
drinking water,Water is life - but it’s not infinite.,饮用水,水是生命 - 但它不是无限的。,飲料水,水は命 - でも無限じゃないよ。,Nước uống,Nước là sự sống - nhưng chúng không vô hạn.
grape wine,The longer wine ages - the better it tastes.,葡萄酒,葡萄酒越陈越香。,ワイン,ワインは熟成すればするほど - 美味しくなる。,Rượu nho,Rượu nho càng để lâu càng ngon.
tomato,This tomato is red - round -and super juicy!,西红柿,这个西红柿又红又圆 - 汁水超多！,トマト,このトマトは赤くて丸くて - めっちゃジューシー！,Cà chua,Trái cà chua này đò - tròn - mọng nước lắm nha!
green tea,Tea - calmness for the mind!,绿茶,茶 - 让内心平静！,緑茶（りょくちゃ）,お茶 - 心の平穏だね！,Trà xanh,Trà - sự tĩnh lặng trong tâm trí!
sunflower seeds,Sunflower oil is great for your health.,葵花籽,葵花籽油对健康很好。,ひまわりの種,ひまわり油は健康にいいよ。,Hạt hướng dương,Dầu ăn hướng dương rất tốt cho sức khỏe.
strawberry,You’re a sweet strawberry ^^,草莓,你是一个甜甜的草莓 ^^,いちご,君は甘いイチゴだよ ^^,Dâu tây,Bạn chính là một trái dâu tây ngọt ngào ^^
squid,Grilled squid and cold beer. The perfect combo.,鱿鱼,烤鱿鱼配冰啤酒 - 绝配！,イカ,焼きイカと冷えたビール - 最高の組み合わせ！,Con mực,Mực nướng và bia tươi. Sự kết hợp hoàn hảo.
shrimp,Stir - fried shrimp with lime leaves paired with boiled water spinach dipped in fish sauce. Simple but delicious!,虾,柠檬叶炒虾搭配煮水菠菜蘸鱼露 - 简单又美味！,エビ,ライムリーフで炒めたエビとゆでた空心菜を魚醤で - シンプルだけど美味しい！,Con tôm,Tôm rang lá chanh kết hợp rau muống luộc chấm tương. Đơn giản mà ngon!
scallop,The fan - shaped scallop shell looks so beautiful ^^,扇贝,扇形贝壳看起来真美 ^^,ホタテ,扇形のホタテの貝殻 - 本当にきれいだね ^^,Sò điệp,Vỏ sò điệp hình quạt trông đẹp thật đấy ^^
sea buckthorn,Packed with vitamins C and E!,沙棘,富含维生素C和E！,サジー（沙棘）,ビタミンCとEがたっぷり！,Hắc mai biển,Giàu vitamin C và E lắm nha!
schnitzel,This piece of meat hasn’t been coated in flour ^^,炸猪排,这块肉还没裹上面粉吧 ^^,シュニッツェル,この肉 - まだ小麦粉つけてないよね ^^,Schnitzel,Miếng thịt này chưa tẩm bột hay sao ý ^^
sausage,Choose clean sausages - made from pure ingredients!,香肠,选择干净的香肠 - 用纯正原料做的！,ソーセージ,きれいなソーセージを選んで - 純粋な素材でできたやつ！,Xúc xích,Hãy lựa chọn xúc xích sạch - nguyên liệu sạch nhé!
lettuce,Dip it in ketchup. So delicious!,生菜,蘸番茄酱 - 超美味！,レタス,ケチャップにつけて - めっちゃ美味しい！,Rau xà lách,Chấm nước sốt cà chua. Ngon lắm nha!
red spice,Just a simple spice jar with a red cap.,红色调料,只是一个简单的红色盖子调料瓶。,赤い調味料,ただの赤い蓋のスパイス瓶だよ。,Gia vị đỏ,Chỉ đơn giản là lọ gia vị có nắp màu đỏ.
red pepper,Do you like spicy food?,红辣椒,你喜欢吃辣吗？,赤唐辛子,辛い食べ物好き？,Ớt đỏ,Cậu có thích ăn cay không?
red grapes,This bunch of grapes is sweet - I guess ^^,红葡萄,这串葡萄很甜 - 我猜 ^^,赤ぶどう,このブドウの房は甘い - と思うよ ^^,Chùm nho đỏ,Chùm nho này ngọt - tớ đoán vậy ^^
red radish,Often used to color candies - milk - powders - etc.,红萝卜,常用来给糖果 - 牛奶 - 粉末等上色。,赤カブ,キャンディーや牛乳や粉末に色をつけるのに - よく使われるんだ。,Củ cải đỏ,Thường được dùng để tạo màu cho bánh kẹo - sữa - bột - ...
pumpkin,I often cook pumpkin porridge - sometimes pumpkin and meat soup.,南瓜,我常煮南瓜粥 - 偶尔煮南瓜肉汤。,かぼちゃ,カボチャのお粥をよく作るよ - たまにカボチャと肉のスープも。,Quả bí ngô,Tớ thường nấu cháo bí ngô - thi thoảng nấu canh thịt bí ngô.
potato,French fries - mashed potatoes - stewed potatoes - roasted potatoes …,土豆,薯条 - 土豆泥 - 炖土豆 - 烤土豆……,じゃがいも,フライドポテト - マッシュポテト - 煮込みポテト - 焼きポテト…,Củ khoai tây,Khoai tây chiên - khoai tây nghiền - khoai tây hầm - khoai tây nướng - ...
porridge,Warm and cozy ^^,粥,温暖舒适 ^^,おかゆ,温かくて心地いい ^^,Cháo,Ấm áp ^^
pineapple,Thorny on the outside - sweet on the inside!,菠萝,外表多刺 - 内心甜美！,パイナップル,外はトゲトゲ - 中は甘いよ！,Quả dứa,Bên ngoài gai góc - bên trong ngọt ngào lắm nha!
pastry,Freshly baked - crisp crust.,糕点,刚出炉 - 外皮酥脆。,ペイストリー,焼きたて - サクサクの皮。,Bánh nướng,Mới ra lò - vỏ giòn tan.
peas,Small but mighty.,豌豆,小巧但厉害。,グリーンピース,小さくても力強い。,Đậu Hà Lan,Nhỏ mà có võ.
pear,Super sweet.,梨,超甜。,梨（なし）,めっちゃ甘い。,Quả Lê,Ngọt lịm.
peach,The immortal peach of the Queen Mother of the West ^^,桃子,西王母的仙桃 ^^,桃（もも）,西王母の不老の桃 ^^,Quả Đào,Đào tiên của Tây Vương Mẫu ^^
crispy dumplings,Crispy outer shell - fragrant meat and quail egg filling.,饺子,外壳酥脆 - 肉和鹌鹑蛋馅香气扑鼻。,餃子（ぎょうざ）,外はカリッと - 肉とウズラの卵のフィリングが香ばしい。,Bánh gối,Vỏ ngoài giòn rụm - nhân thịt trứng cút thơm nức mũi.
orange,You peel a very sour orange and feel regret - but for the orange - that’s all it has.,橙子,你剥了一个很酸的橙子 - 感到后悔 - 但对橙子来说 - 那是它的一切。,オレンジ,すっごく酸っぱいオレンジを剥いて後悔するけど - オレンジにとってはそれが全てだよね。,Quả cam,Bạn bóc một quả cam rất chua và cảm thấy hối hận - nhưng đối với quả cam mà nói - đó là tất cả những gì mà nó có.
onion,Onions make me cry T.T,洋葱,洋葱让我泪流 T.T,玉ねぎ（たまねぎ）,タマネギは泣かせる T.T,Củ hành tây,Hành tây khiến tớ rơi lệ T.T
vegetable oil,Great for heart health - extracted from plant parts.,植物油,对心脏健康很好 - 从植物部分提取。,植物油,心臓の健康にいい - 植物の部分から抽出されてるよ。,Dầu thực vật,Rất tốt cho tim mạch - được chiết xuất từ các bộ phận của thực vật.
octopus,Super smart - has one central brain - three hearts and eight tentacles (each with its own brain).,章鱼,超级聪明 - 有一个中央大脑 - 三个心脏 - 八条触手（每条触手都有自己的大脑）。,タコ,超賢い - 1つの中央脳と3つの心臓、8本の触手（各触手に脳がある）。,Bạch tuộc,Siêu thông minh - Cơ thể có tới tận 1 bộ não trung tâm - 3 trái tim - 8 xúc tu ( mỗi xúc tu có một bộ não riêng biệt ).
almond,Almonds are rich in healthy fats - antioxidants - vitamins and minerals.,杏仁,杏仁富含健康脂肪 - 抗氧化剂 - 维生素和矿物质。,アーモンド,アーモンドは健康的な脂肪 - 抗酸化物質 - ビタミン - ミネラルが豊富。,Hạnh nhân,Hạnh nhân giàu chất béo lành mạnh - chất chống oxy hóa - vitamin và khoáng chất.
mushroom,Chicken stir - fried with mushrooms is a rice-killer ^^,蘑菇,蘑菇炒鸡肉 - 超级下饭 ^^,きのこ,キノコと炒めた鶏肉 - ご飯が止まらない ^^,Cây nấm,Gà xào nấm hao cơm cực kỳ ^^
mint,Incredibly fragrant.,薄荷,香气扑鼻。,ミント,めっちゃいい香り。,Rau bạc hà,Thơm cực kỳ.
fresh milk,Helps kids develop holistically ^^,鲜牛奶,帮助孩子全面发展 ^^,牛乳（ぎゅうにゅう）,子どもの全面的な発達を助ける ^^,Sữa tươi,Giúp trẻ phát triển toàn diện ^^
melon,Sweet - crisp and fragrant. Best eaten during the day!,哈密瓜,甜 - 脆 - 香 - 最好白天吃！,メロン（哈密瓜）,甘くて - シャキッと - 香りがいい。昼間に食べるのが一番！,Dưa lưới,Ngọt - giòn - thơm - nên ăn vào ban ngày nhé!
raw meat,Fresh meat - bright pink and tender!,生肉,新鲜的肉 - 粉红鲜亮 - 柔嫩！,生肉（なまにく）,新鮮な肉 - ピンクが鮮やかで柔らかい！,Thịt sống,Miếng thịt tươi - hồng sáng - mềm mại lắm nha!
ginseng,Boosts immunity - reduces stress - supports heart health - improves brain function.,人参,增强免疫力 - 缓解压力 - 支持心脏健康 - 改善大脑功能。,高麗人参,免疫力アップ - ストレス軽減 - 心臓の健康をサポート - 脳の機能を改善。,Nhân sâm,Tăng sức đề kháng - giảm căng thẳng - hỗ trợ tim mạch - cải thiện chức năng não bộ.
fresh chicken drumstick,How do you like to cook chicken drumsticks?,新鲜鸡腿,你喜欢怎么烹饪鸡腿？,新鮮な鶏もも肉,鶇腿はどうやって調理するのが好き？,Đùi gà tươi,Cậu thích chế biến chiếc đùi gà như thế nào?
kiwi,Also called kiwi - originating from central and eastern China.,猕猴桃,也叫猕猴桃 - 原产于中国中部和东部。,キウイ,キウイとも呼ばれる - 中国中部と東部が原産だよ。,Quả Kiwi,Còn được gọi là quả Dương Đào - nguồn gốc từ miền Trung - miền Đông Trung Quốc
rainbow jelly,Green from pandan leaves - red from beets - purple from perilla leaves - yellow from mangoes…,五色果冻,绿色来自香兰叶 - 红色来自甜菜根 - 紫色来自紫苏叶 - 黄色来自芒果……,ゼリー,パンダンリーフで緑 - ビートで赤 - シソの葉で紫 - マンゴーで黄色…,Thạch ngũ sắc,Màu xanh lá cây được tạo ra từ lá dứa - màu đỏ từ củ dền - màu tím từ lá cẩm - màu vàng từ xoài - ...
ice,At 0°C or below - water becomes solid.,冰块,在0°C或以下 - 水会变成固体。,氷（こおり）,0℃以下だと - 水は固体になるよ。,Đá lạnh,Khi ở 0 độ C hoặc thấp hơn - nước sẽ ở trạng thái rắn.
ice cream,The sound of the ice cream cart reminds me of my childhood.,冰淇淋,冰淇淋车的声音让我想起童年。,アイスクリーム,アイスクリーム屋の音 - 子供時代を思い出すね。,Kem đá,Tiếng còi rao kem khiến tớ nhớ tới tuổi thơ.
honey,To make one spoonful of honey - bees must fly over 80.000 times and visit about 2 million flowers.,蜂蜜,做一勺蜂蜜 - 蜜蜂要飞8万多次 - 探访大约200万朵花。,はちみつ,スプーン1杯のハチミツを作るのに - 蜂は8万回以上飛び、200万の花を訪れるんだ。,Mật ong,Để làm ra một thìa mật ong - ong phải bay đi hơn 80.000 lần và ghé thăm khoảng 2 triệu bông hoa.
ham,The flavor of ham depends on what the pigs eat.,火腿,火腿的味道取决于猪吃的食物。,ハム,ハムの味は - 豚が食べたものによるよ。,Giăm bông,Hương vị của giăm bông thay đổi tùy vào thức ăn của heo.
green spice,Just a simple spice jar with a green cap.,绿色调料,只是一个简单的绿色盖子调料瓶。,緑の調味料,ただの緑の蓋のスパイス瓶だよ。,Gia vị xanh,Đơn giản là một lọ gia vị có nắp màu xanh ^^
green grapes,Do you know the story “The Fox and the Green Grapes”?,青葡萄,你知道“狐狸与酸葡萄”的故事吗？,青ぶどう,「キツネと緑のブドウ」の話知ってる？,Chùm nho xanh,"Cậu có biết câu chuyện ""Con cáo và chùm nho xanh"" không?"
pomegranate,Pomegranate peel and flowers are used in traditional medicine and as natural dyes.,石榴,石榴皮和花用于传统医药和天然染料。,ざくろ,ザクロの皮や花は - 伝統医学や天然染料に使われるよ。,Quả lựu,Vỏ và hoa lựu được dùng trong y học cổ truyền và làm thuốc nhuộm tự nhiên nữa đó.
garlic,In both Eastern and Western cultures - garlic is believed to ward off evil spirits or bad energy.,大蒜,在东西方文化中 - 大蒜被认为能驱除恶灵或邪气。,にんにく,東洋と西洋の文化で - ニンニクは悪霊や悪い気を追い払うと信じられてる。,Củ tỏi,Trong cả văn hóa phương Đông và phương Tây - tỏi được tin là có thể xua đuổi ma quỷ hay tà khí đó.
pufferfish,A pufferfish can inflate itself 2 - 3 times its normal size to intimidate enemies.,河豚,河豚可以膨胀到正常体型的2-3倍来威慑敌人。,フグ,フグは敵を威嚇するために - 体を2～3倍に膨らませるよ。,Cá nóc,Bé cá có thể tự phồng lên gấp 2 - 3 lần kích thước bình thường để đe dọa kẻ thù.
fish,Just an ordinary fish.,鱼,只是一条普通的鱼。,魚（さかな）,ただの普通の魚。,Con cá,Một con cá bình thường.
fish steak,Tuna is often seared in Japan - there’s swordfish in the Mediterranean - there's salmon in the U.S.,鱼排,日本常把金枪鱼煎烤 - 地中海有剑鱼 - 美国有鲑鱼。,魚のステーキ,日本ではマグロを炙る - 地中海にはメカジキ - アメリカにはサーモン。,Bít tết cá,Ở Nhật Bản thường dùng cá ngừ để áp chảo - ở Địa Trung Hải có cá kiếm - ở Mỹ cá hồi.
fish bone,In The Wind Rises - when Jiro eats mackerel and - he was looking at the fishbone - says: “Beautiful - isn’t it? Look at that wonderful curve.”,鱼骨,在《起风了》中 - 次郎吃鲭鱼时 - 看着鱼骨说：“美极了 - 不是吗？看看那美妙的曲线。”,魚の骨,「風立ちぬ」で - 次郎がサバを食べながら魚の骨を見て言う：「美しいよね？この素晴らしいカーブ見て。」,Xương cá,Trong The Wind Rises - cảnh Jiro đang ăn cá thu - khi nhìn vào xương cá cậu thốt lên : “Beautiful - isn’t it? Look at that wonderful curve.”
chicken egg,"In a Vietnamese song: ""Quả gì mà da cưng cứng - Xin thưa rằng quả trứng - Ăn vào thì nó làm sao - Không sao không sao ăn vào người sẽ thêm cao.""",鸡蛋,越南歌谣里：“什么果子皮硬硬 - 请告诉你那是鸡蛋 - 吃下去会怎样 - 没事没事 - 吃了人会长高。”,卵（たまご）,ベトナムの歌で：「皮が硬い果物は？ - それは卵 - 食べるとどうなる？ - 大丈夫、大丈夫、食べると背が伸びるよ。」,Trứng gà,Quả gì mà da cưng cứng - Xin thưa rằng quả trứng - Ăn vào thì nó làm sao - Không sao không sao ăn vào người sẽ thêm cao.
eggplant,After cutting - eggplant easily turns brown due to oxidation - so it’s often soaked in saltwater or lemon juice to preserve its color.,茄子,切开后 - 茄子容易因氧化变褐 - 所以常浸泡在盐水或柠檬汁中以保持颜色。,なす,切った後 - ナスは酸化で茶色くなりやすいから - 塩水やレモン汁に浸けて色を保つんだ。,Quả cà tím,Sau khi cắt cà tím dễ chuyển sang màu nâu do phản ứng oxy hóa - nên thường ngâm nước muối hoặc chanh để giữ màu.
donuts,Iconic symbol: seeing a circle with a hole in the middle - people instantly think of a donut.,甜甜圈,标志性符号：看到中间有洞的圆圈 - 人们立刻想到甜甜圈。,ドーナツ,象徴的なシンボル：真ん中に穴の開いた円を見ると - すぐにドーナツを思い浮かべるよね。,Bánh Donuts,Biểu tượng nhận diện : nhìn thấy vòng tròn có lỗ ở giữa - người ta nghĩ ngay tới donut.
dill,Stir-fried catfish with dill - Sour catfish soup with dill... Delicious.,莳萝,莳萝炒鲶鱼 - 莳萝酸汤鲶鱼……美味。,ディル（ハーブ）,ディルで炒めたナマズ - ディルの酸っぱいナマズスープ…美味しいよ。,Rau thì là,Cá lăng xào thì là - Canh chua cá rau thì là - ... Ngon.
cupcakes,I think the red fruit used for decoration is a cherry.,杯子蛋糕,我想用来装饰的红色水果是樱桃。,カップケーキ,飾りに使われた赤い果物は - チェリーだと思うよ。,Bánh Cupcake,Tớ nghĩ quả màu đỏ được trang trí là Cherry đó.
cucumber,Dipping in Hảo Hảo seasoning - what could be better?,黄瓜,蘸好豪调料 - 还能有什么比这更好？,きゅうり,ハオハオの調味料につけて - それ以上何がいい？,Quả dưa chuột,Chấm với gia vị Hảo Hảo còn gì tuyệt vời hơn.
croissant,Croissants originated in Austria - then were introduced to France and became a Parisian culinary icon.,牛角包,牛角包起源于奥地利 - 后来传入法国 - 成为巴黎美食的象征。,クロワッサン,クロワッサンはオーストリア発祥 - その後フランスに伝わり - パリの食文化の象徴になった。,Bánh sừng bò,Croissant - bánh sừng bò xuất hiện từ nước Áo - sau đó được du nhập vào Pháp và trở thành biểu tượng ẩm thực Paris.
corn,Grilled corn is a very popular and iconic street food in Hanoi during the winter months,玉米,在河内的冬季 - 烤玉米是非常受欢迎的标志性街头小吃。,とうもろこし,ハノイの冬に - 焼きトウモロコシは超人気で象徴的な屋台料理だよ。,Bắp ngô,Mùa đông Hà Nội mà có bắp ngô nướng thì tuyệt vời nhỉ?
cookies,Baking too hot burns the cookie outside while leaving it raw inside; baking too low makes it dry and not crispy.,曲奇,烤得太热 - 饼干外焦里生；烤得温度太低 - 饼干干硬不脆。,クッキー,焼きすぎるとクッキーは外が焦げて中が生 - 温度が低すぎると乾いてサクサクにならない。,Bánh cookies,Nướng quá nóng khiến cookie cháy bên ngoài mà sống bên trong - Nướng quá thấp nhiệt khiến cookie khô và không giòn.
coffee,Vietnamese coffee is number one. Try it to find out!,咖啡,越南咖啡是第一名 - 试试就知道！,コーヒー,ベトナムコーヒーは一番 - 試してみて！,Cà phê,Cà phê Việt Nam là số 1. Hãy thử trải nghiệm để kiểm chứng nhé!
coconut,Coconut water for drinking - coconut flesh for eating - coconut oil for beauty - husk for charcoal - leaves for roofing - trunk for wood.,椰子,椰子水用来喝 - 椰肉用来吃 - 椰油用来美容 - 椰壳做炭 - 椰叶做屋顶 - 椰树干做木材。,ココナッツ,ココナッツウォーターは飲む用 - ココナッツの果肉は食べる用 - ココナッツオイルは美容用 - 殻は炭に - 葉は屋根に - 幹は木材に。,Quả dừa,Nước dừa để uống - Cơm dừa để ăn - Dầu dừa làm đẹp - Vỏ làm than - Lá làm mái che - Thân làm gỗ.
chocolate,Chocolate can harm or even kill some animals.,巧克力,巧克力可能伤害甚至杀死某些动物。,チョコレート,チョコレートは動物にとって有害 - 場合によっては死に至ることも。,Sô-cô-la,Chocolate có thể gây hại hoặc thậm chí tử vong cho chó - mèo - một số động vật khác.
chicken,Hens lay eggs without a rooster - roosters are only needed if the eggs are to be fertilized.,鲜鸡肉,母鸡不需要公鸡也能下蛋 - 只有在蛋需要受精时才需要公鸡。,鶏肉（とりにく）,雌鶏は雄鶏なしで卵を産む - 受精が必要なときだけ雄鶏がいるよ。,Thịt gà tươi,Gà mái đẻ trứng không cần gà trống - chỉ cần gà trống nếu trứng muốn được thụ tinh.
cherry,A symbol of purity - sweetness and luck.,樱桃,纯洁 - 甜美和幸运的象征。,さくらんぼ,純粋さ - 甘さ - 幸運の象徴。,Quả anh đào,Biểu tượng cho sự tinh khiết - ngọt ngào và may mắn.
cheesecake,Hic. I’ve never eaten purple blueberries T.T,芝士蛋糕,呜呜 - 我从没吃过紫色蓝莓 T.T,チーズケーキ,うっ - 紫のブルーベリー食べたことない T.T,Bánh phô mai,Hic. Tớ chưa được ăn Việt quất tím bao giờ T.T
cheddar cheese,Where did one piece go?,切达奶酪,咦 - 少了一块去哪儿了？,チェダーチーズ,1つどこ行った？,Phô mai Cheddar,Ủa - mất đâu một miếng rồi nhỉ?
champignon,Fried with beef - fried with eggs - mushroom soup… So delicious!,白蘑菇,和牛肉炒 - 和鸡蛋炒 - 蘑菇汤……超级美味！,マッシュルーム,牛肉と炒める - 卵と炒める - キノコのスープ…めっちゃ美味しい！,Nấm mỡ,Xào với thịt bò - chiên với trứng - canh nấm mỡ - ... Ngon lắm á ^^
emmental cheese,Looks like a piece of cheese is missing here ^^,埃门塔奶酪,好像这里少了一块奶酪 ^^,エメンタールチーズ,ここにチーズが1つ足りないみたい ^^,Phô mai Emmental,Hình như miếng Pho mát bị thiếu ở đây nè ^^
celery,I often stir - fry beef with celery ^^,芹菜,我常把牛肉和芹菜一起炒 ^^,セロリ,牛肉とセロリをよく炒めるよ ^^,Cần tây,Tớ thường xào thịt bò với cầy tây nè ^^
carrot,Rich in vitamin A - helps keep eyes bright and healthy.,胡萝卜,富含维生素A - 有助于眼睛明亮和健康。,にんじん,ビタミンAが豊富 - 目がキラキラ健康になるよ。,Cà rốt,Giàu vitamin A - giúp mắt sáng và khỏe mạnh hơn.
lollipop,Cute lollipop ^^,棒棒糖,可爱的棒棒糖 ^^,ペロペロキャンディー,かわいいロリポップ ^^,Kẹo mút,Cây kẹo mút xinh ^^
candy,The flavor of each candy is a mystery ^^,糖果,每颗糖果的味道都是个谜 ^^,キャンディー,各キャンディーの味はミステリー ^^,Kẹo ngọt,Vị của từng viên kẹo này là một bí mật ^^
cake,A huge birthday cake. Chocolate coating on top <3,蛋糕,一个超大的生日蛋糕 - 表面覆盖着巧克力 <3,ケーキ,巨大なバースデーケーキ - チョコレートコーティングが上に <3,Bánh ngọt,Một cái bánh sinh nhật to đùng. Lớp socola phủ lên bề mặt <3
cake slice,Seems like a slice cut from a bigger cake.,蛋糕片,好像是从一个更大的蛋糕上切下来的一块。,ケーキの一切れ,もっと大きなケーキから切り出した一片みたい。,Miếng bánh ngọt,Hình như là một miếng bánh được cắt ra từ chiếc lớn hơn nào đấy.
cabbage,Delicious - nutritious and affordable - top quality ^^,卷心菜,美味 - 营养 - 实惠 - 品质超高 ^^,キャベツ,美味しくて - 栄養価が高くて - 手頃で - 最高品質 ^^,Cải bắp,Ngon - bổ - rẻ - chất lượng lắm luôn á ^^
butter,Butter is made by churning milk or cream - causing fat globules to clump and separate from the liquid.,黄油,黄油通过搅拌牛奶或奶油制成 - 使脂肪颗粒聚集成团并与液体分离。,バター,バターは牛乳やクリームを攪拌して作る - 脂肪の粒が固まって液体から分離するんだ。,Bơ sữa bò,Bơ được làm bằng cách đánh sữa hoặc kem tách béo - khiến các hạt mỡ kết tụ - tách khỏi nước.
broccoli,Stir - fry - steam - stew - boil or make soup - all super delicious ^^,西兰花,炒 - 蒸 - 炖 - 煮或做汤 - 都超级美味 ^^,ブロッコリー,炒める - 蒸す - 煮込む - ゆでる - スープにする - 全部超美味しい ^^,Bông cải xanh,Xào - hấp - hầm - luộc - nấy canh đều ngon cực kì ^^
bread,Thinly sliced - dipped in milk or sandwiched with meat. A quality meal.,面包,切成薄片 - 蘸牛奶或夹肉 - 一顿高品质的餐点。,パン,薄くスライスして - 牛乳に浸すか肉と挟む - クオリティの高い食事だよ。,Bánh mì,Thái lát mỏng rồi chấm sữa hoặc kẹp thịt. Một bữa ăn chất lượng.
whole wheat bread,Smells like wheat.,全麦面包,闻起来像小麦。,全麦パン,小麦の香り。,Bánh mì ngũ cốc,Thơm mùi lúa mì.
baguette,A symbol of French cuisine.,法棍,法国美食的象征。,バゲット,フランス料理の象徴。,Bánh mì baguette,Biểu tượng ẩm thực Pháp.
tomato soup,This dish reminds me of my childhood <3,番茄汤,这道菜让我想起我的童年 <3,トマトスープ,この料理は私の子供時代を思い出す <3,Súp cà chua,Món này khiến tớ nhớ về tuổi thơ của mình <3
pork bone,Simmer pork bones for an amazing broth.,猪骨,炖猪骨头做一锅美味的汤底。,豚骨（とんこつ）,豚の骨を煮込んで - 素晴らしいスープができるよ。,Xương ống heo,Hầm xương heo để có nồi nước lèo tuyệt vời.
green bean,Tiny - cute mung beans.,绿豆,小小的 - 可爱的绿豆。,緑豆（りょくとう）,小さくて可愛い緑豆。,Đậu xanh,Hạt đậu xanh nhỏ nhắn - xinh xắn.
blueberry,I’ve never eaten them!,蓝莓,我从没吃过它们！,ブルーベリー,それ食べたことない！,Quả việt quất,Tớ chưa bao giờ ăn chúng!
beetroot,Athletes often drink beet juice to boost endurance and performance.,甜菜,运动员常喝甜菜汁以增强耐力和表现。,ビート,アスリートはビートジュースを飲んで - 持久力とパフォーマンスを上げるんだ。,Củ dền,Các vận động viên thường uống nước ép củ dền để tăng sức bền và hiệu suất thể thao.
beer ,Don’t drink and drive - don’t drive and drink.,啤酒,喝酒不开车 - 开车不喝酒。,ビール,飲酒運転はダメ - 運転するなら飲まないで。,Bia,Uống rượu bia thì không lái xe - Lái xe thì không uống rượu bia
bacon,Smells amazing.,培根,香气扑鼻。,ベーコン,素晴らしい香り。,Thịt xông khói,Thơm lừng.
banana,Delicious - sweet - nutritious.,香蕉,美味 - 甜美 - 营养丰富。,バナナ,美味しくて - 甘くて - 栄養満点。,Chuối,Ngon - ngọt - bổ dưỡng.
avocado,Superfood - great for the body.,牛油果,超级食物 - 对身体很好。,アボカド,スーパーフード - 体にいいよ。,Quả bơ,Siêu thực phẩm - tốt cho cơ thể.
asparagus,Lightly sweet - crisp - fragrant. Can be stir - fried - grilled - steamed or stewed!,芦笋,微甜 - 脆 - 香 - 可以炒 - 烤 - 蒸或炖！,アスパラガス,ほんのり甘くて - シャキッと - 香りがいい。炒める - 焼く - 蒸す - 煮込むでもOK！,Măng tây,Có vị ngọt nhẹ - giòn - thơm. Có thể xào - nướng - hấp hoặc hầm nhé!
chestnut,Roasted chestnuts are super tasty ^^,栗子,烤栗子超好吃 ^^,栗（くり）,焼き栗は超美味しい ^^,Hạt dẻ,Hạt dẻ nướng ngon cực ^^
amanita,Beautiful but highly toxic - be careful!,毒蝇伞,美丽但毒性很高 - 小心！,ベニテングタケ,美しくて - 毒性が高いから - 注意して！,Nấm Amanita,Xinh đẹp nhưng chứa nhiều độc tố - hãy cẩn thận!